id	WR260141T	WR260142T	WR260145T	WR260146T
ENSMUSG00000104478	0.0	0.0	0.0	0.0
ENSMUSG00000104385	0.0	0.0	0.0	0.0
ENSMUSG00000101231	0.0	0.0	0.0	0.0
ENSMUSG00000101097	0.0	0.0	0.0	0.0
ENSMUSG00000100764	0.0	0.0	0.0	0.0
ENSMUSG00000100831	0.0	0.0	0.0	0.0
ENSMUSG00000100884	0.0	0.0	0.0	0.0
ENSMUSG00000100635	0.0	0.0	0.0	0.0
ENSMUSG00000100480	0.0	0.0	0.0	0.0
ENSMUSG00000089037	0.0	0.0	0.0	0.0
ENSMUSG00002076531	0.0	0.0	0.0	0.0
ENSMUSG00000100025	0.0	0.0	0.0	0.0
ENSMUSG00000026312	0.0	0.0	0.0	0.0
ENSMUSG00000100290	0.0	0.0	0.0	0.0
ENSMUSG00000100758	0.0	0.0	0.0	0.0
ENSMUSG00000099926	0.0	0.0	0.0	0.0
ENSMUSG00000039748	0.16343792960528497	0.20040588099609047	0.87624099860307	1.1268568579384475
ENSMUSG00000118715	0.0	0.0	0.0	0.0
ENSMUSG00000104158	0.0	0.0	0.0	0.0
ENSMUSG00000103540	0.0	0.0	0.0	0.0
ENSMUSG00000057363	13.502788337607514	14.57014057464376	29.31900318368842	26.439771649463996
ENSMUSG00000047216	0.0	0.0	0.0	0.0
ENSMUSG00000102788	0.0	0.0	0.0	0.0
ENSMUSG00000102160	0.0	0.0	0.0	0.0
ENSMUSG00000101253	0.0	0.0	0.0	0.0
ENSMUSG00000101846	0.0	0.0	0.0	0.0
ENSMUSG00000090243	0.0	2.639278076229983	0.0	0.0
ENSMUSG00000100701	12.62820406546523	18.581486199072373	13.540737046302855	6.965422721143197
ENSMUSG00000100555	0.6962439267251948	5.122362154018434	7.465555579398134	5.760478578183676
ENSMUSG00000101395	1.686855690117292	0.0	4.521876035683245	0.0
ENSMUSG00000102728	0.0	0.0	0.0	0.0
ENSMUSG00000088848	0.0	0.0	0.0	0.0
ENSMUSG00002075225	0.0	0.0	0.0	0.0
ENSMUSG00000038702	1.4330809402766371	0.8786144350593825	5.122125066968631	2.3054908624988113
ENSMUSG00000101875	0.0	0.0	0.0	0.0
ENSMUSG00000099732	0.0	0.0	0.0	0.0
ENSMUSG00000101220	0.0	0.0	0.0	0.0
ENSMUSG00000100020	0.0	0.0	0.0	0.0
ENSMUSG00000088691	0.0	0.0	0.0	0.0
ENSMUSG00000099884	0.0	0.0	0.0	0.0
ENSMUSG00000100304	0.0	0.0	0.0	0.0
ENSMUSG00000101453	0.0	0.0	0.0	0.0
ENSMUSG00000102105	0.0	0.0	0.0	0.0
ENSMUSG00000099943	0.0	0.0	0.0	0.0
ENSMUSG00002075119	0.0	0.0	0.0	0.0
ENSMUSG00000101687	0.0	0.0	0.0	0.0
ENSMUSG00000055214	0.0	0.0	0.0	0.0
ENSMUSG00000078184	171.80209163203557	152.6352899100433	166.84303148700332	181.57992863488394
ENSMUSG00000104363	0.0	0.0	0.0	0.0
ENSMUSG00000103277	0.0	0.0	0.0	0.0
ENSMUSG00000104157	0.0	0.0	0.0	0.0
ENSMUSG00000102446	0.0	0.0	0.0	0.0
ENSMUSG00000104248	0.0	0.0	0.0	0.0
ENSMUSG00000103471	0.0	0.0	0.0	0.0
ENSMUSG00000087875	0.0	0.0	0.0	0.0
ENSMUSG00000070695	0.0	0.0	0.0	0.0
ENSMUSG00002076179	0.0	0.0	0.0	0.0
ENSMUSG00000102033	0.0	0.0	0.0	0.0
ENSMUSG00000094429	0.0	0.0	0.0	0.0
ENSMUSG00000065625	0.0	0.0	0.0	0.0
ENSMUSG00000103411	0.0	0.0	0.0	0.0
ENSMUSG00000061024	3.360532820155542	4.94478026293674	3.6033699659350855	7.4143659824668795
ENSMUSG00000102030	0.0	0.0	0.0	0.0
ENSMUSG00000025911	0.36414662516817725	0.8930255712958062	1.952302034453718	0.0
ENSMUSG00000081441	9.992553489188458	9.1895734832073	6.69664400202818	10.33436129679594
ENSMUSG00000067879	0.0	0.0	0.0	0.0
ENSMUSG00000099827	0.0	0.0	0.0	0.0
ENSMUSG00000057335	1.982842834590751	2.057288672750824	5.724185476385992	5.258124249297804
ENSMUSG00000103634	0.0	0.0	0.0	0.0
ENSMUSG00000104154	0.0	0.0	0.0	0.0
ENSMUSG00000065573	0.0	0.0	0.0	0.0
ENSMUSG00002076271	0.0	0.0	0.0	0.0
ENSMUSG00000025912	8.153864453969403	13.747502130499676	31.76195192483618	28.10925866733093
ENSMUSG00000045210	7.341948983799048	7.617602472967407	16.27485755872948	19.66415497411669
ENSMUSG00000041763	6.692522118838043	7.536398574985942	23.432273674094244	30.510873786948444
ENSMUSG00000026504	0.0	0.0	0.0	0.4596942822745268
ENSMUSG00000103367	0.0	0.0	0.0	0.0
ENSMUSG00000103584	0.0	0.0	0.0	0.0
ENSMUSG00002076339	0.0	0.0	0.0	0.0
ENSMUSG00000102475	0.0	0.0	0.0	0.0
ENSMUSG00000047343	0.0	0.0	0.0	0.0
ENSMUSG00000102211	0.0	0.0	0.0	0.0
ENSMUSG00000090106	0.0	0.0	0.0	0.0
ENSMUSG00000103251	0.0	0.0	0.0	0.0
ENSMUSG00000091844	0.0	0.0	0.0	0.0
ENSMUSG00000026483	0.5595423752584188	1.1435083534885324	1.4999393679339543	1.028768396483209
ENSMUSG00000098611	0.0	0.0	0.0	0.0
ENSMUSG00000100534	0.0	0.0	0.0	0.0
ENSMUSG00000102904	0.0	0.0	0.0	0.0
ENSMUSG00002076350	0.0	0.0	0.0	0.0
ENSMUSG00000019699	13.968903326123522	9.223050982235376	20.163119372226927	26.670880911168915
ENSMUSG00000104391	0.0	0.0	0.0	0.0
ENSMUSG00000102133	0.0	0.0	0.0	0.0
ENSMUSG00000102749	0.0	0.0	0.0	0.0
ENSMUSG00000103163	0.0	0.0	0.0	0.0
ENSMUSG00000103646	0.0	0.0	0.0	0.0
ENSMUSG00000102427	0.0	0.0	0.0	0.0
ENSMUSG00000063659	3.363817798474365	5.224592418578104	12.022974405726712	3.4015729238557726
ENSMUSG00000026049	4.288081754316854	4.381667522713069	9.579052038207498	11.826029230601376
ENSMUSG00000103767	0.0	0.0	0.0	0.0
ENSMUSG00000043019	1.0785725146024996	1.8515480815300922	8.384710430058636	3.5694926027485114
ENSMUSG00000101104	0.0	0.0	0.0	0.0
ENSMUSG00000015962	0.0	0.0	0.0	0.0
ENSMUSG00000032666	1.5179984018293375	2.5772590715544057	4.069228112192727	4.508498079599812
ENSMUSG00000084557	0.0	0.0	0.0	0.0
ENSMUSG00000100685	0.0	0.0	0.0	0.0
ENSMUSG00000102090	0.0	0.0	0.0	0.0
ENSMUSG00000103744	0.0	0.0	0.0	0.0
ENSMUSG00000015961	22.17669824517917	20.487752844007737	65.14854725433727	45.24219613401993
ENSMUSG00000089657	0.0	0.0	0.0	0.0
ENSMUSG00000102483	0.0	0.0	0.0	0.0
ENSMUSG00000014980	2.624980678208744	1.2070214515488014	1.7591660763373196	3.167233335060941
ENSMUSG00000026235	3.2472076756367634	2.9338783978752216	6.643014310181792	5.420385759220882
ENSMUSG00000099141	0.0	0.0	0.0	0.0
ENSMUSG00000032649	0.0	0.0	0.0	0.0
ENSMUSG00000101849	0.0	0.0	0.0	0.0
ENSMUSG00000101506	0.0	0.0	0.0	0.0
ENSMUSG00000065215	0.0	0.0	0.0	0.0
ENSMUSG00000026047	2.151413321562535	2.110432422318317	4.61375535494533	3.5600081741385203
ENSMUSG00000080878	0.0	0.0	0.0	0.0
ENSMUSG00000091476	0.0	0.0	0.0	0.0
ENSMUSG00000104097	0.0	0.0	0.0	0.0
ENSMUSG00000119789	0.0	0.0	0.0	0.0
ENSMUSG00000102493	0.0	0.0	0.0	0.0
ENSMUSG00000041684	1.30905776807961	0.8025764763428787	3.0704892909917607	4.061507185830644
ENSMUSG00000026048	0.23473298825643077	0.5756542734478424	0.0	0.0
ENSMUSG00000046828	0.0	0.0	0.0	0.0
ENSMUSG00000089703	0.0	0.0	0.0	0.0
ENSMUSG00000100966	0.0	0.0	0.0	0.0
ENSMUSG00000101567	962.1955874346711	944.959776849805	943.3599248035104	933.6822301286447
ENSMUSG00000026245	2.101487394100321	3.8652328162192533	6.337530077491937	3.622285670823514
ENSMUSG00000104018	0.0	0.0	0.0	0.0
ENSMUSG00000090486	0.0	0.0	0.0	0.0
ENSMUSG00000026482	0.398573691366935	0.48872689438224237	0.8013285460657726	2.748049357914465
ENSMUSG00000086145	0.0	0.0	0.0	0.0
ENSMUSG00000080950	0.0	0.0	0.0	0.0
ENSMUSG00000099868	0.0	0.0	0.0	0.0
ENSMUSG00000055547	0.0	0.0	0.0	0.0
ENSMUSG00000012187	0.0	0.0	0.0	0.0
ENSMUSG00000008475	36.28666721798884	30.40446024591917	56.741994542668486	67.55021661354711
ENSMUSG00000100562	0.0	0.0	0.0	0.0
ENSMUSG00000056870	0.0	1.3473802525937257	0.9818655787965747	0.505076554420309
ENSMUSG00000102319	0.0	0.0	0.0	0.0
ENSMUSG00000089877	0.0	0.0	0.0	0.0
ENSMUSG00000101701	0.0	0.0	0.0	0.0
ENSMUSG00000103071	0.0	0.0	0.0	0.0
ENSMUSG00000100434	0.0	0.0	0.0	0.0
ENSMUSG00000100013	0.0	0.0	0.0	0.0
ENSMUSG00000101251	0.0	0.0	0.0	0.0
ENSMUSG00000101937	0.0	0.0	0.0	0.0
ENSMUSG00002075531	0.0	0.0	0.0	0.0
ENSMUSG00000064954	0.0	0.0	0.0	0.0
ENSMUSG00000026495	0.0	0.0	0.0	0.0
ENSMUSG00000032883	6.31844958978981	4.261189264916184	8.46878780150913	7.405857414665104
ENSMUSG00000026480	0.0	0.0	0.0	0.0
ENSMUSG00000026494	0.28098957059112206	0.11484882483322494	1.7575500759269662	1.6790289867752979
ENSMUSG00000064967	0.0	0.0	0.0	0.0
ENSMUSG00000102922	0.0	0.0	0.0	0.0
ENSMUSG00000025915	0.09618295319234924	0.0	1.0313327776165264	0.5305227283939686
ENSMUSG00000079470	0.17925175714750752	0.0	0.0	0.9887108693900359
ENSMUSG00000099377	3.193675738133898	4.89506476145323	21.402847129452013	11.009731389277965
ENSMUSG00000099706	0.0	0.0	0.0	0.0
ENSMUSG00000047330	0.0	0.0	0.0	0.0
ENSMUSG00000101324	0.0	0.0	0.0	0.0
ENSMUSG00000072978	18.64299200635273	19.04986828159226	29.152320446752476	21.42299877552507
ENSMUSG00000046334	0.0	0.0	0.0	0.0
ENSMUSG00002075801	0.0	0.0	0.0	0.0
ENSMUSG00000050711	0.0	0.0	0.0	0.0
ENSMUSG00000099562	0.0	0.0	0.0	0.0
ENSMUSG00000077782	0.0	0.0	0.0	0.0
ENSMUSG00000055067	0.1498774219442193	0.7351125129569137	1.0044236838843443	0.6200166675233627
ENSMUSG00000054702	0.0	0.586455291782166	0.0	1.9785382468848376
ENSMUSG00000096474	0.0	0.0	0.0	0.0
ENSMUSG00000102235	0.0	0.0	0.0	0.0
ENSMUSG00000026492	0.0	0.0	0.0	0.0
ENSMUSG00000082395	0.0	0.0	0.0	0.0
ENSMUSG00000038949	0.0	0.0	0.0	1.2855250196488461
ENSMUSG00000026043	64.22424647067595	58.289569456493076	154.3076377262373	128.3948234681795
ENSMUSG00000046101	0.0	0.0	0.0	0.0
ENSMUSG00002074901	0.0	0.0	0.0	0.0
ENSMUSG00000093178	0.0	0.0	0.0	0.0
ENSMUSG00000099032	0.0	0.0	0.0	0.0
ENSMUSG00000104025	0.0	0.0	0.0	0.0
ENSMUSG00000038936	2.002276735584873	0.8927893836281798	5.123437433712516	3.2630269756214987
ENSMUSG00000042772	9.55131157514134	12.510244677212818	24.14900016911803	27.538739570897327
ENSMUSG00000100394	0.0	0.0	0.0	0.0
ENSMUSG00000103840	0.0	0.0	0.0	0.0
ENSMUSG00000087236	0.0	0.0	0.0	0.0
ENSMUSG00000100702	0.0	0.0	0.0	0.0
ENSMUSG00000026042	36.74042396441891	44.6987650668611	76.36694742527675	74.60903865080215
ENSMUSG00000104476	0.0	0.0	0.0	0.0
ENSMUSG00000073643	0.0	0.5202892508474334	1.706157912353974	0.29255204863001255
ENSMUSG00000104497	0.0	0.0	0.0	0.0
ENSMUSG00000025916	0.0	0.0	0.0	0.0
ENSMUSG00000087199	0.0	0.0	0.0	0.0
ENSMUSG00000026248	0.8372714374304806	1.0266534852488285	2.2444348206311	0.0
ENSMUSG00000119658	0.0	0.0	0.0	0.0
ENSMUSG00000026249	0.0	0.0	0.2226288672087322	0.0
ENSMUSG00000042751	0.0	0.0	0.3191360357306286	0.0
ENSMUSG00000067106	21.628102585746284	22.731559996620526	49.694960877003744	19.17250193445981
ENSMUSG00000099969	0.0	0.0	0.0	0.0
ENSMUSG00000100397	0.0	0.0	0.0	0.0
ENSMUSG00000099753	0.0	0.0	0.0	0.0
ENSMUSG00000118883	0.0	0.0	0.0	0.0
ENSMUSG00000102518	0.0	0.0	0.0	0.0
ENSMUSG00000043230	0.0	0.0	0.0	0.0
ENSMUSG00000103404	0.0	0.0	0.0	0.0
ENSMUSG00000026491	0.18212149287320853	0.44663094198176073	1.8307674873234627	1.255674577607516
ENSMUSG00000025917	11.330510232928043	11.652489796462008	21.06526637547181	16.632119973414813
ENSMUSG00000104418	38.90035904513963	7.3383405641264075	16.042829761380556	16.505023404448007
ENSMUSG00000026479	10.273473639525141	11.337503396747106	3.442453207909125	6.847151766865793
ENSMUSG00000004364	32.48400122319037	29.440705526097126	106.38703955243437	107.89401201491715
ENSMUSG00000103076	0.0	0.0	0.0	0.0
ENSMUSG00000103525	0.0	0.0	0.0	0.0
ENSMUSG00000090637	0.0	0.0	0.0	0.0
ENSMUSG00000026478	8.48648288200208	7.7535174722515485	12.266791373396035	20.880690271705564
ENSMUSG00000110100	0.0	0.0	0.0	0.0
ENSMUSG00000103818	0.0	0.0	0.0	0.0
